"bin","pt_mid","DriftIndex","n"
1,0.0498202337834936,0.0159644369682277,129
2,0.144759809019846,0.0131034640856014,82
3,0.255867055953556,0.0602267896002815,81
4,0.354108629457132,0.0744247535896484,56
5,0.472969790287897,0.0807917250712319,130
6,0.540577178842115,0.0760071546823334,224
7,0.66377876708228,0.0355529015913659,713
8,0.741345631640293,-0.00260670150292514,1893
9,0.839986876552125,-0.00464054630831246,463
10,0.927617695990527,0.0109962680048496,79
