"sample","stratum","n_cells","DriftIndex_mean","DriftIndex_sd","MD_score_mean","SASP_score_mean","n_hybrid","hybrid_pct","n_osteo","osteo_pct","n_adipo","adipo_pct"
"S1","Osteoporotic range",768,0.0128650786380303,0.0975583463629487,0.126343424152448,0.0705018662177986,285,37.109375,187,24.3489583333333,136,17.7083333333333
"S2","Osteopenic range",1708,0.0219261315929092,0.120682417545349,0.17257036534428,0.0928341859260693,956,55.9718969555035,358,20.96018735363,282,16.5105386416862
"S3","Not stratified",469,0.00990429366620398,0.0919520975791123,0.154207716852339,0.0665509141193616,201,42.8571428571429,130,27.7185501066098,75,15.9914712153518
"S4","Not stratified",905,0.00758908036216787,0.0916260581724298,0.16265156402204,0.0491249498622019,320,35.3591160220994,275,30.3867403314917,174,19.2265193370166
