"pseudotime_bin","DriftIndex","AD_score","OS_score","MD_score"
1,0.0159644369682277,0.0537944037698953,0.0378299668016676,0.0735451176276839
2,0.0131034640856014,0.0662506426001028,0.0531471785145015,0.110021297603408
3,0.0602267896002815,0.107223605896518,0.0469968162962362,0.126451722158201
4,0.0744247535896484,0.127115494909908,0.0526907413202594,0.124476055059026
5,0.0807917250712319,0.13369611652984,0.0529043914586083,0.120264302442288
6,0.0760071546823334,0.138186744252736,0.0621795895704028,0.142419078287053
7,0.0355529015913659,0.115144121244939,0.0795912196535729,0.20497973635917
8,-0.00260670150292514,0.050424244416532,0.0530309459194572,0.176248586779806
9,-0.00464054630831246,0.0186128836692061,0.0232534299775186,0.0916974189739628
10,0.0109962680048496,0.022207588160809,0.0112113201559595,0.0734359317497491
